,features,score
0,"pl_orbsmax,pl_ttvflag,st_logg,st_wise2lim",0.5
1,"dec,pl_omflag,pl_radjerr2,pl_rvflag,st_jmh2,st_pmdec",0.5
2,"pl_orbsmax,st_distlim,st_glat,st_hmk2lim,st_tefferr2",0.5
3,"pl_radslim,pl_tranmid,pl_tranmiderr2,st_jmk2lim,st_wise2",0.5
4,"gaia_pmdecerr,pl_orbsmax,st_jmk2lim",0.5
5,"gaia_gmag,st_kerr,st_masslim",0.5
6,"gaia_plxerr2,pl_angsep,st_age",0.5
7,"pl_omflag,pl_orbeccen,pl_rvamplim,st_herr",0.5
8,"pl_eqt,st_elat,st_pmdecerr",0.5
9,"st_dist,st_herr,st_vjerr",0.5
10,"gaia_plxerr2,st_naxa,st_wise3",0.5
11,"pl_bmasseerr1,pl_nnotes,st_lum,st_vj",0.5
12,"gaia_pmerr,pl_angseperr1,pl_rads,pl_st_npar,st_photn,st_wise3err",0.5
13,"gaia_pmraerr,pl_bmassjerr1,pl_msinijlim,st_herr,st_nplc",0.5
14,"pl_masselim,st_lumlim,st_metratio",0.5
15,"pl_trandurlim,st_metfeerr1,st_rah",0.5
16,"pl_angseperr1,pl_bmasseerr2,pl_locale",0.5
17,"pl_status,pl_telescope,st_plxerr2",0.5
18,"gaia_plxlim,pl_orbincllim,pl_ratrorlim",0.5
19,"pl_st_npar,st_elat,st_radv",0.5
20,"st_jmh2lim,st_loggerr1,st_plxerr2",0.5
21,"st_jmh2,st_lumerr1,st_radlim,st_wise2err",0.5
22,"gaia_gmag,gaia_pmraerr,pl_orbinclerr1,pl_radjerr1,st_distlim",0.5
23,"gaia_pmlim,pl_impparlim,pl_orbpererr2,pl_ratrorerr2,pl_st_nref,st_wise3lim",0.5
24,"gaia_plxerr1,pl_facility,st_vj",0.5
25,"pl_orbeccenerr1,st_raderr2,st_tefflim",0.5
26,"pl_impparlim,pl_rade,st_jmh2lim,st_teff",0.5
27,"pl_omflag,st_ageerr1,st_jerr,st_nrvc",0.5
28,"pl_impparerr1,pl_radj,pl_ratrorerr2,st_h,st_jmk2",0.5
29,"pl_nnotes,pl_rade,pl_radelim,st_denserr2",0.5
30,"pl_orbinclerr1,pl_ttvflag,st_hmk2err",0.5
31,"gaia_pmdec,pl_trandurerr1,st_nts",0.5
32,"gaia_plxerr2,gaia_pmdec,pl_k2flag",0.5
33,"pl_tsystemref,st_hmk2lim,st_masslim,st_splim",0.5
34,"gaia_distlim,pl_eqtlim,pl_kepflag",0.5
35,"gaia_pmerr,pl_orbper,pl_radelim,st_h",0.5
36,"gaia_pmerr,pl_st_nref,pl_telescope,st_jmh2lim,st_optband,st_radlim,st_wise3",0.5
37,"pl_eqterr1,pl_instrument,pl_masselim,pl_rvflag",0.5
38,"gaia_plx,pl_angsep,pl_orbeccenlim,st_jmk2lim,st_metratio,st_plxerr1",0.5
39,"pl_orbeccenlim,st_jmh2,st_kerr",0.5
40,"pl_status,st_jlim,st_kerr,st_naxa",0.5
41,"gaia_dist,st_hmk2,st_lumerr1",0.5
42,"gaia_pmdeclim,pl_letter,st_metfe,st_pmdecerr,st_radv",0.5
43,"pl_eqterr2,pl_radserr1,pl_ratdorerr1,st_logglim,st_masslim",0.5
44,"gaia_plxerr2,pl_imgflag,st_klim",0.5
45,"gaia_disterr2,gaia_plxlim,gaia_pm,pl_eqt,st_wise2lim,st_wise3lim",0.5
46,"gaia_plxerr2,pl_bmasse,pl_nnotes,st_wise2",0.5
47,"gaia_pm,pl_discmethod,pl_letter,pl_ratdorerr2,pl_tranmiderr2,st_disterr2,st_rah",0.5
48,"gaia_pmdec,pl_st_nref,pl_trandurerr2,st_disterr2,st_wise4lim",0.5
49,"gaia_pmdecerr,pl_radelim,st_hmk2,st_wise3err",0.5
50,"gaia_gmaglim,pl_astflag,pl_impparlim,st_raderr1,st_vj",0.5
51,"dec,gaia_plxlim,pl_kepflag,st_nimg",0.5
52,"pl_radslim,pl_ratdorerr2,pl_tranmiderr1,st_mass,st_pmdecerr,st_wise1lim",0.5
53,"pl_k2flag,pl_locale,st_jerr,st_logg,st_radverr1",0.5
54,"pl_discmethod,pl_ratrorerr1,st_metfelim",0.5
55,"pl_occdeplim,pl_orbtperlim,st_metfeerr2",0.5
56,"pl_radslim,st_jmk2err,st_wise4",0.5
57,"pl_st_nref,st_nimg,st_nspec",0.5
58,"pl_impparlim,pl_orbincl,pl_tranmid,pl_tranmidlim",0.5
59,"pl_bmassj,st_distlim,st_hmk2lim",0.5
60,"pl_omflag,pl_orbpererr1,pl_ratrorerr1",0.5
61,"gaia_pmdecerr,st_hmk2lim,st_sp",0.5
62,"st_optmagerr,st_pmralim,st_raderr1",0.5
63,"pl_massjlim,pl_rads,st_elon,st_nrvc,st_radlim",0.5
64,"pl_disc,st_elat,st_nglc,st_wise3",0.5
65,"gaia_pm,pl_rade,st_glat",0.5
66,"pl_radjlim,st_elon,st_jmh2lim",0.5
67,"pl_orbsmaxerr2,st_elon,st_jerr,st_jmh2,st_nspec,st_plxerr2",0.5
68,"pl_controvflag,st_jerr,st_wise2err",0.5238095238095238
69,"pl_controvflag,pl_radj,st_pmralim,st_raderr2,st_tefflim,st_wise4lim",0.5
70,"gaia_plxerr1,pl_trandurlim,st_nspec,st_photn,st_vj",0.5
71,"pl_angsep,pl_tranmidlim,st_age,st_jmk2err,st_klim,st_logg",0.5
72,"gaia_pmraerr,pl_trandur,pl_tranmid,pl_ttvflag,st_hmk2,st_pmlim",0.5
73,"pl_pnum,pl_rads,st_loggerr2",0.5
74,"pl_angseperr2,pl_orblperlim,st_hmk2lim,st_teff,st_tefferr1",0.5
75,"pl_imppar,pl_orbper,pl_trandeplim",0.5
76,"pl_trandur,st_hmk2err,st_klim",0.5
77,"st_disterr1,st_lum,st_pmdec",0.5
78,"pl_bmassjlim,st_glat,st_pmdeclim,st_rad,st_tefflim",0.5
79,"gaia_plx,pl_eqterr1,pl_mnum,st_disterr2,st_optmagerr,st_pmraerr",0.5
80,"gaia_pmra,pl_discmethod,pl_imgflag,pl_orbeccenlim,pl_radjerr1,st_k",0.5416666666666666
81,"pl_bmassjerr2,pl_orbper,st_disterr2,st_nglc,st_pmdec,st_pmerr,st_wise2err",0.5
82,"pl_orbperlim,pl_ratrorerr1,pl_telescope",0.5
83,"pl_discmethod,pl_ratdorerr1,st_nts,st_optmagerr,st_pm",0.5
84,"pl_bmassprov,pl_cbflag,pl_orbpererr1,pl_tranmid,st_nglc,st_pmra,st_raderr2,st_wise2",0.5
85,"pl_angseperr1,st_lumerr2,st_pmraerr",0.5
86,"st_hmk2,st_mass,st_wise1",0.5
87,"gaia_gmag,pl_eqtlim,pl_orbpererr1,pl_orbperlim,st_masslim",0.5
88,"gaia_disterr2,pl_tsystemref,st_jerr,st_vjlim,st_wise2lim",0.5
89,"pl_radeerr1,pl_trandurlim,pl_ttvflag,st_j,st_nglc,st_nrvc",0.5
90,"gaia_pmraerr,pl_impparlim,pl_trandurerr2,pl_trandurlim,st_raderr1,st_tefferr1",0.5
91,"gaia_pmra,pl_impparlim,st_hlim,st_jerr",0.5
92,"pl_nnotes,pl_ttvflag,st_wise1err",0.5
93,"pl_orbpererr1,st_pmdeclim,st_radvlim",0.5
94,"gaia_pmdec,pl_facility,pl_kepflag,pl_msinielim,pl_st_nref,st_rad",0.5
95,"gaia_pmralim,pl_letter,pl_pnum,st_elon",0.5
96,"gaia_gmaglim,st_ageerr2,st_radlim",0.5
97,"gaia_gmaglim,pl_bmasse,st_kerr,st_optmag",0.5
98,"pl_kepflag,pl_st_npar,st_jmk2lim,st_masslim,st_rah",0.5
99,"pl_insolerr2,st_glon,st_h,st_naxa",0.5
100,"gaia_pmlim,pl_st_npar,st_radlim",0.5
101,"pl_denslim,st_glon,st_jmh2err",0.5
102,"gaia_disterr2,gaia_plx,gaia_pmra,pl_orbinclerr2,pl_ratdor,pl_tranflag,st_jmk2err,st_masserr2,st_photn,st_pmralim,st_wise4lim",0.5
103,"gaia_plxlim,pl_radelim,st_ageerr2,st_jlim,st_pmdeclim",0.5
104,"pl_eqtlim,pl_impparerr1,pl_massjlim,pl_tranmid,st_elat,st_elon",0.5
105,"pl_angseperr1,pl_ratdorerr1,pl_trandeplim,st_lumlim,st_photn",0.5
106,"pl_orbperlim,pl_status,st_tefferr1",0.5
107,"pl_orbeccenerr2,st_herr,st_jmh2err",0.5
108,"pl_angseperr2,pl_insol,st_wise1",0.5
109,"st_nrvc,st_pmerr,st_radvlim",0.5
110,"pl_radslim,st_denslim,st_optmaglim",0.5
111,"pl_impparlim,st_jmh2,st_klim,st_vjlim",0.5
112,"st_denslim,st_jmh2lim,st_loggerr1,st_loggerr2,st_pmraerr,st_vjlim,st_wise2err",0.5
113,"gaia_pmerr,pl_nnotes,pl_tranmid,st_pmlim",0.5
114,"gaia_pmdecerr,pl_radeerr2,pl_tranmidlim",0.5
115,"st_nglc,st_optmaglim,st_tefferr1",0.5
116,"gaia_disterr2,pl_impparerr1,pl_radelim,st_colorn",0.5
117,"gaia_plx,pl_impparerr1,pl_locale",0.5
118,"pl_rvamplim,st_herr,st_hmk2,st_wise2lim",0.5
