,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rade,pl_rads,pl_trandur,pl_tranmid,pl_ratror,pl_mnum,pl_st_npar,pl_st_nref,st_rah,st_glon,st_glat,st_elon,st_elat,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_logg,st_metfe,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_jmh2,st_hmk2,st_jmk2
0,0,1,326.03,1.29,,0,0,0,185.179276,17.792868,93.37,4.74,4.372,4742.0,2.7,19.0,0,1,0,0.0,0,0,13.8,,,,,,0,27,19,12.34528503,264.140892,78.28052199999999,177.42238799999998,18.333765,10.71,93.37,-109.2,88.2,140.4,-109.2,88.2,140.4,2.31,-0.35,2.943,2.484,2.282,0.639,0.732,2.358,2.27,0.45899999999999996,0.20199999999999999,0.6609999999999999
1,0,1,516.21997,1.53,,0,0,0,229.27453599999998,71.823898,125.72,5.016,4.5,4213.0,2.78,29.79,0,1,0,0.0,0,0,12.2,,,,,,0,35,18,15.28496908,108.71898200000001,41.044515999999994,141.647144,74.958184,7.95,125.72,3.4,10.1,10.7,3.4,10.1,10.7,1.93,-0.02,2.8760000000000003,2.0909999999999997,1.939,-0.29,0.14300000000000002,1.8940000000000001,1.787,0.785,0.152,0.937
2,0,1,185.84,0.83,,0,0,0,352.822571,39.236198,75.59,5.227,4.872,4813.0,2.2,11.0,0,1,0,0.0,0,0,11.0,,,,,,0,30,22,23.52150472,106.41155800000001,-21.05061,11.962116,38.229937,13.23,75.59,287.3,-83.8,299.3,287.3,-83.8,299.3,2.63,-0.24,3.0189999999999997,2.608,2.331,1.5919999999999999,2.545,2.719,2.719,0.41100000000000003,0.27699999999999997,0.688
3,0,1,1773.4000199999998,2.93,,0,0,0,242.60130299999997,43.817646,17.94,6.61,6.379,5338.0,0.9,0.93,0,1,0,0.0,0,0,163.0,,,,,,0,79,37,16.17342021,69.170376,46.944998999999996,223.24872799999997,62.879798,55.74,17.94,132.0,-296.5,324.5,132.0,-296.5,324.5,4.45,0.41,5.1579999999999995,4.803,4.7139999999999995,4.676,4.543,4.721,4.6739999999999995,0.355,0.08900000000000001,0.444
4,0,1,798.5,1.66,,0,0,0,295.466553,50.517525,21.41,6.25,6.057,5750.0,1.08,1.13,0,1,0,0.0,0,0,77.5,,,,,,0,77,40,19.69777018,83.33646,13.204351999999998,321.21805,69.468372,47.28,21.15,-134.8,-162.5,211.1,-134.8,-162.5,211.1,4.36,0.06,4.993,4.695,4.651,4.773,4.5680000000000005,4.926,4.713,0.298,0.044000000000000004,0.342
5,0,1,993.3,2.6,,0,0,0,314.608063,10.839286,76.38,5.506,5.244,4979.0,2.3,8.5,0,1,0,0.0,0,0,34.0,,,,,,0,28,20,20.97387085,58.691433999999994,-21.974823999999998,320.591213,26.786858000000002,13.09,76.38,-50.0,-34.2,60.6,-50.0,-34.2,60.6,2.82,-0.052000000000000005,4.032,3.44,3.366,3.37,2.931,3.355,3.3080000000000003,0.5920000000000001,0.07400000000000001,0.6659999999999999
7,0,1,30.3506,0.19,,0,0,0,217.15754700000002,49.844852,96.25,5.58,5.305,4893.0,0.99,10.64,0,1,0,0.0,0,0,1.97,,,,,,0,17,14,14.4771698,90.162223,60.643666,185.925162,58.888906999999996,10.39,96.25,-304.1,-46.8,307.6,-304.1,-46.8,307.6,2.42,-0.77,3.845,3.34,3.159,,,,,0.505,0.18100000000000002,0.6859999999999999
8,0,2,452.8,1.3330000000000002,,0,0,0,155.86821,-0.902244,72.21,6.441,6.1979999999999995,5098.0,1.54,4.9,0,1,0,0.0,0,0,18.5,,,,,,0,21,17,10.39121399,245.085309,44.715734000000005,157.99358999999998,-10.198148,13.85,72.21,65.2,-36.3,74.6,65.2,-36.3,74.6,3.5,-0.03,5.292000000000001,4.486000000000001,4.285,4.093999999999999,3.5980000000000003,4.254,4.2010000000000005,0.8059999999999999,0.201,1.0070000000000001
9,0,2,883.0,2.08,,0,0,0,155.86821,-0.902244,72.21,6.441,6.1979999999999995,5098.0,1.54,4.9,0,1,0,0.0,0,0,28.8,,,,,,0,21,17,10.39121399,245.085309,44.715734000000005,157.99358999999998,-10.198148,13.85,72.21,65.2,-36.3,74.6,65.2,-36.3,74.6,3.5,-0.03,5.292000000000001,4.486000000000001,4.285,4.093999999999999,3.5980000000000003,4.254,4.2010000000000005,0.8059999999999999,0.201,1.0070000000000001
10,0,1,,52.0,,0,0,0,20.712243,-24.664049,36.0,14.24,12.902999999999999,3530.0,0.4,,0,0,1,0.0,0,0,1440.0,,,,,,0,9,6,1.3808162,195.448768,-82.520165,8.622413,-30.711243,29.53,33.86,120.5,-123.4,172.4,120.5,-123.4,172.4,,,10.084,9.47,9.198,9.022,8.857000000000001,8.747,8.298,0.614,0.272,0.8859999999999999
